school_type, school_no, school_status, longitude, latitude
"Primary",2225,"O",145.879,-36.1613
"Primary",2229,"O",145.713,-38.0989
"Primary",2231,"O",144.372,-35.9546
"Primary",2248,"O",145.573,-38.0827
"Primary",2253,"O",146.328,-38.6646
"Primary",2259,"O",145.344,-37.8088
"Primary",2265,"O",144.13,-35.6349
"Primary",2269,"O",145.459,-36.0184
"Primary",2271,"O",143.843,-37.6158
"Primary",2282,"O",147.143,-36.6914
"Primary",2295,"O",146.232,-38.2616
"Primary",2313,"O",145.827,-38.1706
"Primary",2318,"O",147.251,-36.4653
"Primary",2319,"O",146.0,-38.1877
"Primary",2327,"O",145.105,-38.2481
"Primary",2329,"O",145.308,-37.8495
"Primary",2337,"O",147.385,-36.285
"Primary",2343,"O",147.715,-37.9113
"Primary",2367,"O",144.313,-36.7051
"Primary",2374,"O",144.928,-37.7927
"Primary",2382,"O",146.448,-38.2682
"Primary",2383,"O",146.151,-38.4005
"Primary",2419,"O",146.329,-38.3211
"Primary",2432,"O",145.955,-38.0153
"Primary",2436,"O",145.043,-37.7666
"Primary",2443,"O",143.519,-35.8553
"Primary",2455,"O",144.656,-38.1156
"Primary",2457,"O",145.395,-37.9177
"Primary",2460,"O",144.978,-37.8582
"Primary",2471,"O",145.805,-38.0377
"Primary",2479,"O",144.709,-37.6226
"Primary",2505,"O",145.769,-38.1141
"Primary",2506,"O",145.545,-37.9516
"Primary",2518,"O",147.04,-38.1068
"Primary",2520,"O",146.177,-38.0714
"Primary",2541,"O",145.598,-37.8317
"Primary",2544,"O",145.713,-37.3206
"Primary",2560,"O",145.415,-37.9957
"Primary",2563,"O",145.434,-36.2999
"Primary",2571,"O",144.531,-37.0195
"Primary",2586,"O",145.038,-37.8716
"Primary",2599,"O",145.571,-37.7825
"Primary",2605,"O",144.97,-37.8021
"Primary",2608,"O",144.926,-37.7743
"Primary",2617,"O",146.269,-38.3829
"Primary",2627,"O",144.909,-38.3551
"Primary",2629,"O",145.493,-38.1949
"Primary",2634,"O",145.018,-37.8522
"Primary",2655,"O",145.04,-38.257
"Primary",2656,"O",145.179,-38.224
"Primary",2662,"O",142.739,-37.5447
"Primary",2667,"O",144.761,-36.134
"Primary",2672,"O",147.994,-37.876
"Primary",2677,"O",146.318,-36.7382
"Primary",2703,"O",146.648,-38.519
"Primary",2707,"O",145.422,-36.8079
"Primary",2708,"O",143.714,-38.5163
"Primary",2711,"O",145.02,-37.778
"Primary",2712,"O",145.974,-38.1657
"Primary",2724,"O",145.674,-38.0903
"Primary",2730,"O",146.365,-38.3689
"Primary",2742,"O",145.41,-38.0583
"Primary",2743,"O",144.972,-37.7787
"Primary",2744,"O",148.458,-37.7079
"Primary",2776,"O",145.729,-38.6312
"Primary",2778,"O",145.101,-37.8255
"Special",2784,"O",144.95,-37.8306
"Primary",2790,"O",145.479,-35.924
"Primary",2805,"O",142.322,-36.9449
"Primary",2806,"O",147.732,-35.9642
"Primary",2815,"O",144.958,-37.8478
"Primary",2820,"O",145.464,-37.7739
"Primary",2832,"O",144.885,-37.8148
"Primary",2837,"O",144.966,-37.7551
"Primary",2840,"O",146.252,-38.1189
"Primary",2859,"O",142.609,-37.1934
"Primary",2870,"O",144.997,-37.8914
"Primary",2888,"O",146.571,-38.1276
"Primary",2897,"O",145.055,-37.8909
"Primary",2899,"O",145.57,-38.263
"Primary",2900,"O",145.281,-37.7932
"Primary",2901,"O",144.91,-37.7683
"Primary",2904,"O",145.193,-37.8085
"Primary",2912,"O",145.703,-38.3686
"Primary",2915,"O",142.16,-34.1943
"Primary",2923,"O",145.158,-37.8175
"Primary",2930,"O",148.434,-37.7355
"Primary",2932,"O",144.934,-37.8353
"Primary",2948,"O",145.051,-37.8203
"Primary",2950,"O",145.068,-37.9829
"Primary",2955,"O",144.968,-37.7804
"Primary",2956,"O",145.45,-37.7341
"Primary",2959,"O",145.184,-37.7029
"Primary",2961,"O",145.232,-38.203
"Primary",2963,"O",147.434,-37.8269
"Primary",2966,"O",146.179,-38.2885
"Primary",2969,"O",144.796,-37.7388
"Primary",2981,"O",145.959,-38.4789
"Primary",2988,"O",141.984,-36.1413
"Primary",3016,"O",145.01,-37.8451
"Primary",3023,"O",145.181,-38.1993
"Primary",3028,"O",146.084,-38.6948
"Primary",3033,"O",145.372,-38.0486
"Primary",3035,"O",144.757,-37.4895
"Primary",3050,"O",147.852,-37.883
"Primary",3053,"O",145.357,-38.5131
"Primary",3058,"O",142.517,-37.1375
"Primary",3067,"O",145.436,-36.2386
"Primary",3074,"O",145.034,-37.907
"Primary",3077,"O",145.826,-38.4351
"Primary",3080,"O",145.201,-38.3605
"Primary",3081,"O",144.938,-37.7312
"Primary",3098,"O",145.291,-37.3169
"Primary",3100,"O",144.522,-38.264
"Primary",3109,"O",142.418,-35.9449
"Primary",3110,"O",144.987,-37.777
"Primary",3113,"O",144.831,-37.7909
"Primary",3129,"O",145.167,-38.2608
"Primary",3139,"O",145.009,-37.7615
"Primary",3145,"O",147.113,-36.3552
"Primary",3146,"O",145.004,-37.7868
"Primary",3161,"O",145.049,-37.7965
"Primary",3163,"O",142.205,-34.2088
"Primary",3174,"O",142.159,-34.2266
"Primary",3179,"O",144.979,-37.7651
"Primary",3215,"O",147.68,-37.8924
"Primary",3216,"O",145.606,-37.779
"Primary",3222,"O",145.355,-37.8608
"Primary",3228,"O",145.335,-37.8842
"Primary",3237,"O",145.473,-37.5354
"Primary",3241,"O",145.274,-37.7306
"Primary",3255,"O",145.26,-37.4813
"Primary",3261,"O",145.333,-38.3834
"Primary",3265,"O",145.41,-37.8769
"Primary",3278,"O",143.632,-35.4645
"Primary",3279,"O",145.489,-37.606
"Primary",3284,"O",145.362,-37.8307
"Primary",3301,"O",143.179,-35.8527
"Primary",3309,"O",145.533,-37.68
"Primary",3315,"O",145.316,-37.5052
"Primary",3322,"O",144.621,-38.2742
"Primary",3323,"O",145.713,-38.5151
"Primary",3336,"O",145.103,-37.927
"Primary",3341,"O",145.139,-38.0447
"Primary",3345,"O",144.507,-38.2178
"Primary",3356,"O",145.345,-37.907
"Primary",3368,"O",144.312,-38.3218
"Primary",3372,"O",149.169,-37.5163
"Primary",3373,"O",142.668,-35.6814
"Primary",3381,"O",145.442,-37.9334
"Primary",3385,"O",145.126,-38.0781
"Primary",3401,"O",145.675,-38.3362
"Primary",3423,"O",144.559,-37.7453
"Primary",3426,"O",143.266,-35.4762
"Primary",3432,"O",145.124,-37.8809
"Primary",3433,"O",148.535,-37.7963
"Primary",3440,"O",145.407,-37.0901
"Primary",3449,"O",145.07,-37.8862
"Primary",3466,"O",145.647,-37.7687
"Primary",3470,"O",142.085,-34.2781
"Primary",3476,"O",145.247,-37.7743
"Primary",3479,"O",144.888,-37.2594
"Primary",3494,"O",145.366,-37.8547
"Primary",3497,"O",143.395,-38.5639
"Primary",3505,"O",144.284,-36.7934
"Pri/Sec",3515,"O",149.754,-37.5594
"Primary",3531,"O",145.19,-38.1604
"Primary",3535,"O",145.496,-37.9393
"Primary",3544,"O",145.193,-38.2621
"Primary",3551,"O",145.358,-37.9312
"Primary",3559,"O",144.762,-37.7022
"Primary",3572,"O",145.084,-37.8311
"Primary",3581,"O",142.093,-34.2059
"Primary",3584,"O",146.537,-38.1931
"Primary",3585,"O",144.951,-37.7599
"Primary",3590,"O",144.974,-37.7159
"Primary",3599,"O",145.032,-37.7835
"Primary",3612,"O",145.96,-38.2105
"Primary",3613,"O",145.187,-38.0948
"Primary",3618,"O",145.043,-37.6945
"Primary",3620,"O",145.475,-37.8898
"Primary",3631,"O",145.022,-37.9699
"Primary",3642,"O",145.389,-37.7909
"Primary",3645,"O",145.315,-37.8021
"Primary",3650,"O",145.589,-38.6079
"Primary",3659,"O",144.882,-37.8306
"Primary",3664,"O",145.326,-38.1323
"Primary",3675,"O",145.174,-37.9706
"Primary",3680,"O",145.061,-37.8085
"Primary",3684,"O",147.659,-37.7021
"Primary",3686,"O",144.308,-36.7684
"Primary",3689,"O",145.424,-38.1457
"Primary",3696,"O",145.431,-36.3572
"Primary",3702,"O",142.191,-34.2525
"Primary",3703,"O",145.046,-37.8938
"Primary",3708,"O",144.778,-36.313
"Primary",3709,"O",145.217,-37.8561
"Primary",3716,"O",145.6,-38.5988
"Primary",3717,"O",144.574,-37.7084
"Primary",3729,"O",145.123,-38.0555
"Primary",3738,"O",148.093,-37.7266
"Primary",3754,"O",145.003,-37.9334
"Special",3774,"O",144.982,-37.8498
"Primary",3787,"O",144.415,-37.795
"Primary",3790,"O",145.113,-38.0375
"Primary",3805,"O",145.441,-36.4104
"Primary",3806,"O",145.014,-37.7545
"Primary",3819,"O",141.814,-35.1706
"Primary",3820,"O",145.022,-37.8721
"Primary",3835,"O",145.13,-38.1044
"Primary",3841,"O",145.098,-37.8434
"Primary",3859,"O",143.951,-35.5288
"Primary",3885,"O",144.996,-37.7374
